Notaría,"Tipo Búsqueda",Total
101Guadalajara,"Lista Negra",946
101Guadalajara,"Lista SAT",861
101Oaxaca,"Lista Negra",962
101Oaxaca,"Lista SAT",792
108teotitlan,"Lista Negra",273
108teotitlan,"Lista SAT",265
113huatulco,"Lista Negra",238
113huatulco,"Lista SAT",228
13Villahermosa,"Lista SAT",2
13Villahermosa,"Lista Negra",1
14villahermosa,"Lista SAT",1
14villahermosa,"Lista Negra",1
156tuxtla,"Lista Negra",131
156tuxtla,"Lista SAT",67
15piedrasnegras,"Lista Negra",40
15piedrasnegras,"Lista SAT",30
177ixtlahuaca,"Lista Negra",145
177ixtlahuaca,"Lista SAT",145
180Puruandiro,"Lista Negra",1696
180Puruandiro,"Lista SAT",817
1nacajuca,"Lista Negra",1182
1nacajuca,"Lista SAT",521
1Tampico,"Lista Negra",9
1Tampico,"Lista SAT",9
30Aguascalientes,"Lista Negra",5
37Oaxaca,"Lista Negra",1367
37Oaxaca,"Lista SAT",1362
3huimanguillo,"Lista Negra",416
3huimanguillo,"Lista SAT",409
41Tampico,"Lista Negra",550
41Tampico,"Lista SAT",500
4Ixmiquilpan,"Lista Negra",33
4Ixmiquilpan,"Lista SAT",10
65riobravo,"Lista Negra",121
65riobravo,"Lista SAT",117
79oaxaca,"Lista Negra",3898
79oaxaca,"Lista SAT",2488
7cordoba,"Lista SAT",3
7cordoba,"Lista Negra",2
84arteaga,"Lista Negra",85
84arteaga,"Lista SAT",81
99maravatio,"Lista SAT",1
atinet,"Lista Negra",57
atinet,"Lista SAT",27
